     0.00002 39900.12500   199.50063
     0.00010  9900.49902    99.00499
     0.00022  4345.56152    65.18342
     0.00040  2401.97363    48.03947
     0.00062  1503.06104    37.57653
     0.00090  1015.47919    30.46437
     0.00123   722.20886    25.27731
     0.00160   532.58990    21.30359
     0.00202   403.30200    18.14859
     0.00250   311.52036    15.57602
     0.00302   244.28711    13.43579
     0.00360   193.79900    11.62794
     0.00422   155.12576    10.08317
     0.00490   125.02580     8.75181
     0.00562   101.29474     7.59711
     0.00640    82.38946     6.59116
     0.00723    67.20234     5.71220
     0.00810    54.92076     4.94287
     0.00903    44.93679     4.26899
     0.01000    36.78795     3.67880
     0.01102    30.11701     3.16229
     0.01210    24.64441     2.71088
     0.01322    20.14884     2.31712
     0.01440    16.45332     1.97440
     0.01562    13.41513     1.67689
     0.01690    10.91832     1.41938
     0.01822     8.86811     1.19719
     0.01960     7.18665     1.00613
     0.02102     5.80978     0.84242
     0.02250     4.68441     0.70266
     0.02403     3.76655     0.58382
     0.02560     3.01972     0.48315
     0.02722     2.41360     0.39824
     0.02890     1.92305     0.32692
     0.03062     1.52720     0.26726
     0.03240     1.20876     0.21758
     0.03423     0.95342     0.17638
     0.03610     0.74936     0.14238
     0.03802     0.58685     0.11444
     0.04000     0.45789     0.09158
     0.04202     0.35593     0.07297
     0.04410     0.27563     0.05788
     0.04622     0.21262     0.04571
     0.04840     0.16337     0.03594
     0.05062     0.12503     0.02813
     0.05290     0.09531     0.02192
     0.05522     0.07236     0.01700
     0.05760     0.05471     0.01313
     0.06002     0.04119     0.01009
     0.06250     0.03089     0.00772
     0.06502     0.02306     0.00588
     0.06760     0.01715     0.00446
     0.07022     0.01270     0.00336
     0.07290     0.00936     0.00253
     0.07563     0.00687     0.00189
     0.07840     0.00502     0.00141
     0.08123     0.00365     0.00104
     0.08410     0.00265     0.00077
     0.08702     0.00191     0.00056
     0.09000     0.00137     0.00041
     0.09303     0.00098     0.00030
     0.09610     0.00070     0.00022
     0.09922     0.00049     0.00016
     0.10240     0.00035     0.00011
     0.10562     0.00024     0.00008
     0.10890     0.00017     0.00006
     0.11222     0.00012     0.00004
     0.11560     0.00008     0.00003
     0.11902     0.00006     0.00002
     0.12250     0.00004     0.00001
     0.12602     0.00003     0.00001
     0.12960     0.00002     0.00001
     0.13322     0.00001     0.00000
     0.13690     0.00001     0.00000
     0.14062     0.00001     0.00000
     0.14440     0.00000     0.00000
     0.14822     0.00000     0.00000
     0.15210     0.00000     0.00000
     0.15602     0.00000     0.00000
     0.16000     0.00000     0.00000
     0.16402     0.00000     0.00000
     0.16810     0.00000     0.00000
     0.17222     0.00000     0.00000
     0.17640     0.00000     0.00000
     0.18062     0.00000     0.00000
     0.18490     0.00000     0.00000
     0.18923     0.00000     0.00000
     0.19360     0.00000     0.00000
     0.19802     0.00000     0.00000
     0.20250     0.00000     0.00000
     0.20702     0.00000     0.00000
     0.21160     0.00000     0.00000
     0.21622     0.00000     0.00000
     0.22090     0.00000     0.00000
     0.22562     0.00000     0.00000
     0.23040     0.00000     0.00000
     0.23522     0.00000     0.00000
     0.24010     0.00000     0.00000
     0.24502     0.00000     0.00000
     0.25000     0.00000     0.00000
     0.25502     0.00000     0.00000
     0.26010     0.00000     0.00000
     0.26522     0.00000     0.00000
     0.27040     0.00000     0.00000
     0.27562     0.00000     0.00000
     0.28090     0.00000     0.00000
     0.28622     0.00000     0.00000
     0.29160     0.00000     0.00000
     0.29703     0.00000     0.00000
     0.30250     0.00000     0.00000
     0.30803     0.00000     0.00000
     0.31360     0.00000     0.00000
     0.31922     0.00000     0.00000
     0.32490     0.00000     0.00000
     0.33062     0.00000     0.00000
     0.33640     0.00000     0.00000
     0.34222     0.00000     0.00000
     0.34810     0.00000     0.00000
     0.35402     0.00000     0.00000
     0.36000     0.00000     0.00000
     0.36602     0.00000     0.00000
     0.37210     0.00000     0.00000
     0.37822     0.00000     0.00000
     0.38440     0.00000     0.00000
     0.39062     0.00000     0.00000
     0.39690     0.00000     0.00000
     0.40322     0.00000     0.00000
     0.40960     0.00000     0.00000
     0.41602     0.00000     0.00000
     0.42250     0.00000     0.00000
     0.42902     0.00000     0.00000
     0.43560     0.00000     0.00000
     0.44222     0.00000     0.00000
     0.44890     0.00000     0.00000
     0.45563     0.00000     0.00000
     0.46240     0.00000     0.00000
     0.46922     0.00000     0.00000
     0.47610     0.00000     0.00000
     0.48302     0.00000     0.00000
     0.49000     0.00000     0.00000
     0.49702     0.00000     0.00000
     0.50410     0.00000     0.00000
     0.51122     0.00000     0.00000
     0.51840     0.00000     0.00000
     0.52562     0.00000     0.00000
     0.53290     0.00000     0.00000
     0.54022     0.00000     0.00000
     0.54760     0.00000     0.00000
