     0.00002 18577.08008    92.88540
     0.00010  4623.39453    46.23394
     0.00022  2039.47351    30.59210
     0.00040  1135.20984    22.70420
     0.00062   716.78241    17.91956
     0.00090   489.61197    14.68836
     0.00123   352.76193    12.34667
     0.00160   264.06876    10.56275
     0.00202   203.38879     9.15250
     0.00250   160.11160     8.00558
     0.00302   128.21657     7.05191
     0.00360   104.08064     6.24484
     0.00422    85.41713     5.55211
     0.00490    70.72469     4.95073
     0.00562    58.98423     4.42382
     0.00640    49.48416     3.95873
     0.00723    41.71503     3.54578
     0.00810    35.30415     3.17737
     0.00903    29.97366     2.84750
     0.01000    25.51291     2.55129
     0.01102    21.75958     2.28476
     0.01210    18.58698     2.04457
     0.01322    15.89498     1.82792
     0.01440    13.60346     1.63242
     0.01562    11.64779     1.45597
     0.01690     9.97525     1.29678
     0.01822     8.54264     1.15326
     0.01960     7.31394     1.02395
     0.02102     6.25918     0.90758
     0.02250     5.35323     0.80298
     0.02403     4.57488     0.70911
     0.02560     3.90612     0.62498
     0.02722     3.33165     0.54972
     0.02890     2.83837     0.48252
     0.03062     2.41507     0.42264
     0.03240     2.05210     0.36938
     0.03423     1.74114     0.32211
     0.03610     1.47505     0.28026
     0.03802     1.24761     0.24328
     0.04000     1.05346     0.21069
     0.04202     0.88798     0.18204
     0.04410     0.74715     0.15690
     0.04622     0.62748     0.13491
     0.04840     0.52598     0.11571
     0.05062     0.44003     0.09901
     0.05290     0.36738     0.08450
     0.05522     0.30611     0.07194
     0.05760     0.25452     0.06109
     0.06002     0.21118     0.05174
     0.06250     0.17484     0.04371
     0.06502     0.14444     0.03683
     0.06760     0.11906     0.03096
     0.07022     0.09792     0.02595
     0.07290     0.08035     0.02169
     0.07563     0.06578     0.01809
     0.07840     0.05373     0.01504
     0.08123     0.04378     0.01248
     0.08410     0.03559     0.01032
     0.08702     0.02886     0.00851
     0.09000     0.02335     0.00701
     0.09303     0.01885     0.00575
     0.09610     0.01517     0.00470
     0.09922     0.01219     0.00384
     0.10240     0.00976     0.00312
     0.10562     0.00780     0.00254
     0.10890     0.00622     0.00205
     0.11222     0.00494     0.00166
     0.11560     0.00392     0.00133
     0.11902     0.00310     0.00107
     0.12250     0.00245     0.00086
     0.12602     0.00193     0.00068
     0.12960     0.00151     0.00054
     0.13322     0.00118     0.00043
     0.13690     0.00092     0.00034
     0.14062     0.00072     0.00027
     0.14440     0.00056     0.00021
     0.14822     0.00043     0.00017
     0.15210     0.00034     0.00013
     0.15602     0.00026     0.00010
     0.16000     0.00020     0.00008
     0.16402     0.00015     0.00006
     0.16810     0.00012     0.00005
     0.17222     0.00009     0.00004
     0.17640     0.00007     0.00003
     0.18062     0.00005     0.00002
     0.18490     0.00004     0.00002
     0.18923     0.00003     0.00001
     0.19360     0.00002     0.00001
     0.19802     0.00002     0.00001
     0.20250     0.00001     0.00001
     0.20702     0.00001     0.00000
     0.21160     0.00001     0.00000
     0.21622     0.00001     0.00000
     0.22090     0.00000     0.00000
     0.22562     0.00000     0.00000
     0.23040     0.00000     0.00000
     0.23522     0.00000     0.00000
     0.24010     0.00000     0.00000
     0.24502     0.00000     0.00000
     0.25000     0.00000     0.00000
     0.25502     0.00000     0.00000
     0.26010     0.00000     0.00000
     0.26522     0.00000     0.00000
     0.27040     0.00000     0.00000
     0.27562     0.00000     0.00000
     0.28090     0.00000     0.00000
     0.28622     0.00000     0.00000
     0.29160     0.00000     0.00000
     0.29703     0.00000     0.00000
     0.30250     0.00000     0.00000
     0.30803     0.00000     0.00000
     0.31360     0.00000     0.00000
     0.31922     0.00000     0.00000
     0.32490     0.00000     0.00000
     0.33062     0.00000     0.00000
     0.33640     0.00000     0.00000
     0.34222     0.00000     0.00000
     0.34810     0.00000     0.00000
     0.35402     0.00000     0.00000
     0.36000     0.00000     0.00000
     0.36602     0.00000     0.00000
     0.37210     0.00000     0.00000
     0.37822     0.00000     0.00000
     0.38440     0.00000     0.00000
     0.39062     0.00000     0.00000
     0.39690     0.00000     0.00000
     0.40322     0.00000     0.00000
     0.40960     0.00000     0.00000
     0.41602     0.00000     0.00000
     0.42250     0.00000     0.00000
     0.42902     0.00000     0.00000
     0.43560     0.00000     0.00000
     0.44222     0.00000     0.00000
     0.44890     0.00000     0.00000
     0.45563     0.00000     0.00000
     0.46240     0.00000     0.00000
     0.46922     0.00000     0.00000
     0.47610     0.00000     0.00000
     0.48302     0.00000     0.00000
     0.49000     0.00000     0.00000
     0.49702     0.00000     0.00000
     0.50410     0.00000     0.00000
     0.51122     0.00000     0.00000
     0.51840     0.00000     0.00000
     0.52562     0.00000     0.00000
     0.53290     0.00000     0.00000
     0.54022     0.00000     0.00000
     0.54760     0.00000     0.00000
     0.55502     0.00000     0.00000
     0.56250     0.00000     0.00000
     0.57002     0.00000     0.00000
     0.57760     0.00000     0.00000
     0.58522     0.00000     0.00000
     0.59290     0.00000     0.00000
     0.60062     0.00000     0.00000
     0.60840     0.00000     0.00000
     0.61622     0.00000     0.00000
     0.62410     0.00000     0.00000
     0.63202     0.00000     0.00000
     0.64000     0.00000     0.00000
     0.64803     0.00000     0.00000
     0.65610     0.00000     0.00000
     0.66422     0.00000     0.00000
     0.67240     0.00000     0.00000
     0.68062     0.00000     0.00000
     0.68890     0.00000     0.00000
     0.69722     0.00000     0.00000
     0.70560     0.00000     0.00000
     0.71402     0.00000     0.00000
     0.72250     0.00000     0.00000
     0.73102     0.00000     0.00000
     0.73960     0.00000     0.00000
     0.74823     0.00000     0.00000
     0.75690     0.00000     0.00000
     0.76562     0.00000     0.00000
     0.77440     0.00000     0.00000
     0.78322     0.00000     0.00000
     0.79210     0.00000     0.00000
     0.80102     0.00000     0.00000
     0.81000     0.00000     0.00000
     0.81902     0.00000     0.00000
     0.82810     0.00000     0.00000
     0.83722     0.00000     0.00000
     0.84640     0.00000     0.00000
     0.85562     0.00000     0.00000
     0.86490     0.00000     0.00000
     0.87423     0.00000     0.00000
     0.88360     0.00000     0.00000
     0.89302     0.00000     0.00000
     0.90250     0.00000     0.00000
     0.91202     0.00000     0.00000
     0.92160     0.00000     0.00000
     0.93122     0.00000     0.00000
     0.94090     0.00000     0.00000
     0.95062     0.00000     0.00000
     0.96040     0.00000     0.00000
     0.97022     0.00000     0.00000
     0.98010     0.00000     0.00000
     0.99002     0.00000     0.00000
     1.00000     0.00000     0.00000
